scene_id,sowing date,date,min,max,average,std,variance,median
farm1,2020-11-20,2020-11-20,0.1453,0.2392,0.1942,0.0191,0.0004,0.1928
farm1,2020-11-20,2020-12-15,0.389,0.5553,0.4961,0.0387,0.0015,0.5067
farm1,2020-11-20,2020-12-25,0.4415,0.6175,0.5619,0.0395,0.0016,0.5696
farm1,2020-11-20,2021-01-27,0.6683,0.7644,0.7439,0.0174,0.0003,0.7501
farm1,2020-11-20,2021-02-08,0.6806,0.7523,0.7292,0.0147,0.0002,0.7339
farm1,2020-11-20,2021-02-18,0.6162,0.6756,0.6566,0.0116,0.0001,0.6603
farm1,2020-11-20,2021-02-28,0.7056,0.8103,0.7787,0.0149,0.0002,0.7812
farm1,2020-11-20,2021-03-10,0.5499,0.6212,0.5924,0.0133,0.0002,0.5939
farm1,2020-11-20,2021-03-20,0.5254,0.613,0.5716,0.017,0.0003,0.5689
farm1,2020-11-20,2021-04-02,0.2871,0.528,0.3645,0.0359,0.0013,0.36
farm1,2020-11-20,2021-04-14,0.1785,0.2523,0.202,0.0137,0.0002,0.1995
farm1,2020-11-20,2021-04-24,0.1594,0.2509,0.1916,0.0145,0.0002,0.1925
farm1,2021-11-08,2021-11-08,0.0941,0.2289,0.1407,0.0241,0.0006,0.1354
farm1,2021-11-08,2021-11-18,0.0942,0.2243,0.1369,0.0168,0.0003,0.1342
farm1,2021-11-08,2021-12-10,0.2179,0.4789,0.3769,0.0522,0.0027,0.384
farm1,2021-11-08,2021-12-20,0.2798,0.5129,0.4255,0.0378,0.0014,0.4267
farm1,2021-11-08,2022-02-13,0.5389,0.7772,0.7122,0.0488,0.0024,0.7226
farm1,2021-11-08,2022-03-08,0.5185,0.7782,0.7189,0.0494,0.0024,0.7337
farm1,2021-11-08,2022-03-18,0.411,0.5138,0.4642,0.0219,0.0005,0.4656
farm1,2021-11-08,2022-03-30,0.3403,0.5614,0.4144,0.0454,0.0021,0.4073
farm1,2021-11-08,2022-04-09,0.216,0.3832,0.2545,0.0237,0.0006,0.2489
farm1,2022-11-13,2022-11-13,0.1169,0.2517,0.1588,0.0224,0.0005,0.1534
farm1,2022-11-13,2022-11-25,0.1491,0.2772,0.2012,0.0185,0.0003,0.2046
farm1,2022-11-13,2022-12-05,0.2484,0.4743,0.3812,0.0443,0.002,0.3861
farm1,2022-11-13,2022-12-15,0.3256,0.5464,0.4282,0.0443,0.002,0.4307
farm1,2022-11-13,2023-01-27,0.6481,0.7842,0.7492,0.0262,0.0007,0.7574
farm1,2022-11-13,2023-02-21,0.5047,0.5917,0.5653,0.0153,0.0002,0.5666
farm1,2022-11-13,2023-03-03,0.67,0.7793,0.7389,0.0247,0.0006,0.7411
farm1,2022-11-13,2023-04-04,0.2768,0.5109,0.3538,0.0519,0.0027,0.3465
farm1,2022-11-13,2023-04-17,0.2032,0.3393,0.2307,0.0183,0.0003,0.2274
farm2,2020-12-03,2020-12-03,0.0776,0.1338,0.1103,0.0141,0.0002,0.1095
farm2,2020-12-03,2020-12-15,0.1195,0.2397,0.1627,0.0222,0.0005,0.1614
farm2,2020-12-03,2020-12-25,0.0662,0.2896,0.1699,0.0394,0.0016,0.1726
farm2,2020-12-03,2021-01-27,0.3096,0.6275,0.5044,0.0668,0.0045,0.5049
farm2,2020-12-03,2021-02-08,0.3665,0.6602,0.5582,0.0657,0.0043,0.5752
farm2,2020-12-03,2021-02-18,0.3583,0.6005,0.5358,0.0506,0.0026,0.5443
farm2,2020-12-03,2021-02-28,0.4522,0.7683,0.6715,0.0611,0.0037,0.6742
farm2,2020-12-03,2021-03-10,0.3633,0.5895,0.4746,0.0623,0.0039,0.466
farm2,2020-12-03,2021-03-20,0.2871,0.5951,0.4316,0.0943,0.0089,0.4343
farm2,2020-12-03,2021-04-02,0.1888,0.4387,0.2952,0.0737,0.0054,0.2911
farm2,2020-12-03,2021-04-14,0.1436,0.231,0.1826,0.0165,0.0003,0.1832
farm2,2021-11-18,2021-11-18,0.086,0.2285,0.1221,0.0249,0.0006,0.1187
farm2,2021-11-18,2021-12-10,0.1644,0.3339,0.266,0.0377,0.0014,0.264
farm2,2021-11-18,2021-12-20,0.2352,0.4037,0.3325,0.0376,0.0014,0.3326
farm2,2021-11-18,2022-02-01,0.0503,0.0808,0.0648,0.0065,0,0.0649
farm2,2021-11-18,2022-02-13,0.6244,0.7514,0.708,0.03,0.0009,0.7148
farm2,2021-11-18,2022-03-08,0.6615,0.7614,0.7302,0.0195,0.0004,0.7344
farm2,2021-11-18,2022-03-18,0.367,0.4608,0.4117,0.0246,0.0006,0.4104
farm2,2021-11-18,2022-03-30,0.3366,0.4658,0.3911,0.029,0.0008,0.3891
farm2,2021-11-18,2022-04-09,0.2115,0.2768,0.2347,0.0174,0.0003,0.2306
farm2,2022-11-13,2022-11-13,0.0654,0.2921,0.1325,0.033,0.0011,0.1276
farm2,2022-11-13,2022-11-25,0.0934,0.2394,0.1438,0.0209,0.0004,0.1418
farm2,2022-11-13,2022-12-05,0.1442,0.327,0.2429,0.038,0.0014,0.242
farm2,2022-11-13,2022-12-15,0.2697,0.4229,0.3654,0.0344,0.0012,0.368
farm2,2022-11-13,2023-01-27,0.5473,0.7499,0.6881,0.0362,0.0013,0.6926
farm2,2022-11-13,2023-02-08,0.6683,0.7952,0.7548,0.0222,0.0005,0.7579
farm2,2022-11-13,2023-02-21,0.4151,0.5458,0.5132,0.0242,0.0006,0.5189
farm2,2022-11-13,2023-03-03,0.6642,0.7882,0.7646,0.0235,0.0006,0.771
farm2,2022-11-13,2023-04-04,0.2853,0.476,0.397,0.0424,0.0018,0.4053
farm2,2022-11-13,2023-04-17,0.2159,0.3713,0.2458,0.0254,0.0006,0.2402
farm3,2020-11-20,2020-11-20,0.1386,0.4674,0.1943,0.0758,0.0057,0.1714
farm3,2020-11-20,2020-12-25,0.2335,0.5977,0.4741,0.085,0.0072,0.483
farm3,2020-11-20,2021-01-27,0.4095,0.7589,0.6985,0.071,0.005,0.7213
farm3,2020-11-20,2021-02-08,0.487,0.7445,0.7061,0.0605,0.0037,0.729
farm3,2020-11-20,2021-02-18,0.5674,0.6778,0.6573,0.0239,0.0006,0.6644
farm3,2020-11-20,2021-02-28,0.7211,0.8185,0.7881,0.0141,0.0002,0.7876
farm3,2020-11-20,2021-03-10,0.5891,0.6728,0.6159,0.0161,0.0003,0.6116
farm3,2020-11-20,2021-03-20,0.553,0.7136,0.6098,0.0311,0.001,0.6046
farm3,2020-11-20,2021-04-02,0.3336,0.6826,0.4367,0.0813,0.0066,0.4174
farm3,2020-11-20,2021-04-14,0.1776,0.3395,0.212,0.034,0.0012,0.2008
farm3,2020-11-20,2021-04-24,0.1524,0.3002,0.1959,0.0256,0.0007,0.1904
farm3,2021-11-08,2021-11-08,0.1151,0.2237,0.1446,0.0253,0.0006,0.1376
farm3,2021-11-08,2021-12-10,0.1731,0.4801,0.26,0.0807,0.0065,0.2402
farm3,2021-11-08,2022-01-12,0.4127,0.5577,0.4817,0.0336,0.0011,0.484
farm3,2021-11-08,2022-02-01,0.06,0.0831,0.0722,0.0053,0,0.0725
farm3,2021-11-08,2022-02-13,0.5848,0.7487,0.6879,0.0382,0.0015,0.6906
farm3,2021-11-08,2022-03-08,0.6728,0.7674,0.7336,0.0222,0.0005,0.7369
farm3,2021-11-08,2022-03-18,0.4455,0.4856,0.4661,0.0109,0.0001,0.4671
farm3,2021-11-08,2022-03-30,0.3675,0.5064,0.4121,0.0345,0.0012,0.3985
farm3,2021-11-08,2022-04-09,0.2278,0.309,0.2573,0.0237,0.0006,0.2496
farm3,2022-11-13,2022-11-13,0.1161,0.2185,0.1485,0.026,0.0007,0.1401
farm3,2022-11-13,2022-11-25,0.1274,0.2683,0.1526,0.0262,0.0007,0.1441
farm3,2022-11-13,2022-12-05,0.1608,0.4345,0.229,0.0609,0.0037,0.2041
farm3,2022-11-13,2022-12-15,0.2533,0.4655,0.322,0.0536,0.0029,0.3095
farm3,2022-11-13,2023-01-27,0.675,0.7571,0.7219,0.0202,0.0004,0.7223
farm3,2022-11-13,2023-02-21,0.5381,0.5766,0.5662,0.0062,0,0.567
farm3,2022-11-13,2023-03-03,0.7431,0.7958,0.7756,0.0098,0.0001,0.7766
farm3,2022-11-13,2023-04-04,0.4133,0.5802,0.4845,0.0389,0.0015,0.47
farm3,2022-11-13,2023-04-17,0.2157,0.331,0.2519,0.0283,0.0008,0.2441
farm4,2020-11-03,2020-11-03,0.1864,0.3036,0.2251,0.0247,0.0006,0.223
farm4,2020-11-03,2020-11-13,0.168,0.2681,0.2137,0.0245,0.0006,0.2191
farm4,2020-11-03,2020-12-15,0.3828,0.5413,0.4446,0.0412,0.0017,0.4441
farm4,2020-11-03,2021-01-19,0.5019,0.7174,0.6609,0.0533,0.0028,0.6803
farm4,2020-11-03,2021-01-29,0.4872,0.693,0.6352,0.0512,0.0026,0.6605
farm4,2020-11-03,2021-02-08,0.5251,0.7443,0.6933,0.0578,0.0033,0.7176
farm4,2020-11-03,2021-02-21,0.5055,0.655,0.6253,0.0341,0.0012,0.6373
farm4,2020-11-03,2021-03-03,0.5169,0.778,0.7278,0.0729,0.0053,0.762
farm4,2020-11-03,2021-04-04,0.259,0.3697,0.3075,0.0325,0.0011,0.3085
farm4,2020-11-03,2021-04-14,0.1946,0.2555,0.2088,0.0131,0.0002,0.2077
farm4,2020-11-03,2021-04-27,0.1835,0.3003,0.2081,0.0254,0.0006,0.2009
farm4,2021-11-08,2021-11-08,0.1231,0.3914,0.207,0.0577,0.0033,0.2005
farm4,2021-11-08,2021-12-10,0.2443,0.4371,0.3117,0.0582,0.0034,0.2874
farm4,2021-11-08,2021-12-23,0.316,0.487,0.3603,0.0454,0.0021,0.3466
farm4,2021-11-08,2022-02-01,0.0536,0.0751,0.0673,0.0061,0,0.0692
farm4,2021-11-08,2022-02-13,0.6068,0.7641,0.6677,0.0354,0.0013,0.6617
farm4,2021-11-08,2022-03-08,0.6262,0.7647,0.7204,0.0251,0.0006,0.7213
farm4,2021-11-08,2022-03-20,0.5099,0.6049,0.577,0.0207,0.0004,0.5755
farm4,2021-11-08,2022-03-30,0.3971,0.4835,0.4444,0.0223,0.0005,0.4447
farm4,2021-11-08,2022-04-09,0.2574,0.3499,0.2877,0.0203,0.0004,0.287
farm4,2021-11-08,2022-04-22,0.2322,0.3374,0.2511,0.0211,0.0004,0.2453
farm4,2022-11-15,2022-11-15,0.126,0.2709,0.1725,0.0257,0.0007,0.1741
farm4,2022-11-15,2022-12-05,0.1747,0.3694,0.2222,0.055,0.003,0.2015
farm4,2022-11-15,2022-12-18,0.2248,0.4216,0.278,0.0567,0.0032,0.2555
farm4,2022-11-15,2023-01-27,0.5141,0.7519,0.6336,0.0577,0.0033,0.6312
farm4,2022-11-15,2023-02-21,0.48,0.574,0.5556,0.0192,0.0004,0.5628
farm4,2022-11-15,2023-03-03,0.6095,0.791,0.7649,0.0373,0.0014,0.776
farm4,2022-11-15,2023-04-04,0.4663,0.6124,0.556,0.0421,0.0018,0.566
farm4,2022-11-15,2023-04-17,0.2442,0.3857,0.3155,0.0351,0.0012,0.3166
farm5,2020-11-13,2020-11-13,0.0506,0.1365,0.1016,0.018,0.0003,0.1029
farm5,2020-11-13,2020-11-28,0.1314,0.3175,0.2266,0.0502,0.0025,0.2342
farm5,2020-11-13,2020-12-08,0.1697,0.3778,0.2789,0.0511,0.0026,0.2859
farm5,2020-11-13,2020-12-20,0.3107,0.5995,0.4478,0.0768,0.0059,0.4387
farm5,2020-11-13,2021-02-01,0.5808,0.6508,0.6215,0.0157,0.0002,0.6242
farm5,2020-11-13,2021-02-11,0.6097,0.6752,0.6407,0.0152,0.0002,0.6391
farm5,2020-11-13,2021-03-05,0.6349,0.7491,0.694,0.0222,0.0005,0.6917
farm5,2020-11-13,2021-03-28,0.3099,0.445,0.3847,0.0358,0.0013,0.3821
farm5,2020-11-13,2021-04-07,0.2272,0.4096,0.2922,0.0402,0.0016,0.296
farm5,2020-11-13,2021-04-19,0.1484,0.2729,0.1971,0.0221,0.0005,0.1977
farm5,2020-11-13,2021-04-29,0.1456,0.1873,0.1679,0.0096,0.0001,0.1667
farm5,2021-11-13,2021-11-13,0.0824,0.2086,0.1128,0.0214,0.0005,0.1072
farm5,2021-11-13,2021-11-23,0.0808,0.1646,0.1152,0.0159,0.0003,0.1149
farm5,2021-11-13,2021-12-05,0.1462,0.2485,0.1953,0.0243,0.0006,0.195
farm5,2021-11-13,2021-12-25,0.2005,0.4409,0.3567,0.0575,0.0033,0.3619
farm5,2021-11-13,2022-02-08,0.3357,0.6363,0.5546,0.0661,0.0044,0.5753
farm5,2021-11-13,2022-02-18,0.3139,0.7834,0.6692,0.1141,0.013,0.7094
farm5,2021-11-13,2022-02-28,0.3554,0.7669,0.6752,0.09,0.0081,0.7052
farm5,2021-11-13,2022-03-13,0.3996,0.7094,0.6444,0.06,0.0036,0.6632
farm5,2021-11-13,2022-03-23,0.4032,0.6452,0.5409,0.0593,0.0035,0.543
farm5,2021-11-13,2022-04-04,0.2027,0.368,0.2986,0.0355,0.0013,0.2991
farm5,2021-11-13,2022-04-14,0.1706,0.2413,0.2132,0.0145,0.0002,0.2138
farm5,2021-11-13,2022-04-24,0.1425,0.2803,0.2171,0.0276,0.0008,0.2132
farm5,2022-11-18,2022-11-18,0.1405,0.1972,0.1769,0.0109,0.0001,0.1767
farm5,2022-11-18,2022-11-30,0.1277,0.2754,0.2055,0.0244,0.0006,0.2075
farm5,2022-11-18,2022-12-10,0.2303,0.3492,0.2776,0.0242,0.0006,0.2753
farm5,2022-11-18,2023-01-12,0.3519,0.5961,0.5085,0.0468,0.0022,0.5106
farm5,2022-11-18,2023-02-03,0.5766,0.7521,0.7102,0.0348,0.0012,0.7241
farm5,2022-11-18,2023-02-13,0.6964,0.8058,0.7781,0.0246,0.0006,0.7861
farm5,2022-11-18,2023-02-26,0.6431,0.7314,0.7071,0.0166,0.0003,0.7109
farm5,2022-11-18,2023-03-08,0.6053,0.7033,0.6622,0.0205,0.0004,0.6654
farm5,2022-11-18,2023-03-30,0.3969,0.5397,0.4765,0.0269,0.0007,0.4796
farm5,2022-11-18,2023-04-09,0.2575,0.4497,0.3546,0.0409,0.0017,0.3491
farm6,2020-11-13,2020-11-13,0.1159,0.1735,0.1389,0.0134,0.0002,0.136
farm6,2020-11-13,2020-11-28,0.2255,0.316,0.2795,0.0189,0.0004,0.2815
farm6,2020-11-13,2020-12-08,0.28,0.4107,0.3514,0.0304,0.0009,0.3562
farm6,2020-11-13,2020-12-20,0.5368,0.6594,0.6112,0.0309,0.001,0.6141
farm6,2020-11-13,2021-02-01,0.6156,0.6791,0.6527,0.0146,0.0002,0.6544
farm6,2020-11-13,2021-03-05,0.6531,0.7083,0.6817,0.0139,0.0002,0.6788
farm6,2020-11-13,2021-03-28,0.2794,0.3415,0.3118,0.0153,0.0002,0.3124
farm6,2020-11-13,2021-04-07,0.1983,0.2529,0.2244,0.0122,0.0001,0.224
farm6,2020-11-13,2021-04-19,0.1504,0.2195,0.188,0.015,0.0002,0.1894
farm6,2020-11-13,2021-04-29,0.1293,0.1919,0.1611,0.0127,0.0002,0.1616
farm6,2021-11-13,2021-11-13,0.1024,0.1797,0.1283,0.0174,0.0003,0.1247
farm6,2021-11-13,2021-11-23,0.1063,0.146,0.1257,0.0083,0.0001,0.1265
farm6,2021-11-13,2021-12-05,0.1796,0.2743,0.211,0.018,0.0003,0.2098
farm6,2021-11-13,2021-12-25,0.3481,0.4958,0.4399,0.0273,0.0007,0.4393
farm6,2021-11-13,2022-02-08,0.485,0.6507,0.6079,0.0279,0.0008,0.6118
farm6,2021-11-13,2022-02-18,0.5582,0.7805,0.7315,0.0371,0.0014,0.7393
farm6,2021-11-13,2022-02-28,0.5704,0.7447,0.7003,0.0292,0.0009,0.7032
farm6,2021-11-13,2022-03-13,0.48,0.688,0.6328,0.0383,0.0015,0.6383
farm6,2021-11-13,2022-03-23,0.4192,0.6022,0.535,0.0373,0.0014,0.5365
farm6,2021-11-13,2022-04-04,0.2433,0.3665,0.2853,0.0265,0.0007,0.2832
farm6,2021-11-13,2022-04-14,0.2023,0.2456,0.2227,0.0099,0.0001,0.2221
farm6,2021-11-13,2022-04-24,0.1467,0.2809,0.2038,0.029,0.0008,0.1942
farm6,2022-11-18,2022-11-18,0.1108,0.2463,0.1686,0.0233,0.0005,0.1681
farm6,2022-11-18,2022-11-30,0.2304,0.3525,0.2847,0.033,0.0011,0.2796
farm6,2022-11-18,2022-12-10,0.4133,0.5644,0.4879,0.0395,0.0016,0.4845
farm6,2022-11-18,2023-01-12,0.5193,0.6471,0.5946,0.0253,0.0006,0.5938
farm6,2022-11-18,2023-02-03,0.6718,0.7657,0.7341,0.0204,0.0004,0.7368
farm6,2022-11-18,2023-02-13,0.6757,0.7916,0.7604,0.0223,0.0005,0.761
farm6,2022-11-18,2023-02-26,0.5857,0.6908,0.6634,0.0188,0.0004,0.6685
farm6,2022-11-18,2023-03-08,0.5448,0.6497,0.6197,0.0191,0.0004,0.6217
farm6,2022-11-18,2023-03-30,0.2931,0.4486,0.3392,0.0324,0.0011,0.3357
farm6,2022-11-18,2023-04-09,0.1942,0.3798,0.2372,0.0349,0.0012,0.2297
farm7,2020-11-05,2020-11-05,0.1163,0.5177,0.2648,0.1166,0.0136,0.2351
farm7,2020-11-05,2020-11-13,0.1156,0.4333,0.2247,0.0787,0.0062,0.217
farm7,2020-11-05,2020-11-28,0.1685,0.5398,0.3282,0.0981,0.0096,0.346
farm7,2020-11-05,2020-12-08,0.233,0.4458,0.3646,0.0578,0.0033,0.3771
farm7,2020-11-05,2020-12-20,0.4337,0.6853,0.5932,0.0555,0.0031,0.5895
farm7,2020-11-05,2021-02-01,0.4468,0.663,0.617,0.0549,0.003,0.6387
farm7,2020-11-05,2021-02-11,0.4729,0.6759,0.6335,0.0485,0.0024,0.6554
farm7,2020-11-05,2021-03-05,0.3867,0.7121,0.6169,0.0865,0.0075,0.6449
farm7,2020-11-05,2021-03-15,0.3384,0.4924,0.4434,0.0341,0.0012,0.452
farm7,2020-11-05,2021-03-28,0.2776,0.3556,0.308,0.016,0.0003,0.3079
farm7,2020-11-05,2021-04-07,0.2198,0.3763,0.2551,0.029,0.0008,0.2444
farm7,2020-11-05,2021-04-19,0.1548,0.3862,0.2133,0.0531,0.0028,0.1923
farm7,2020-11-05,2021-04-29,0.1305,0.2889,0.1798,0.0378,0.0014,0.1656
farm7,2021-11-13,2021-11-13,0.1078,0.5672,0.2383,0.1402,0.0197,0.1611
farm7,2021-11-13,2021-11-23,0.1199,0.4498,0.2333,0.096,0.0092,0.1827
farm7,2021-11-13,2021-12-05,0.1651,0.307,0.2237,0.0285,0.0008,0.2172
farm7,2021-11-13,2021-12-25,0.4132,0.4937,0.4564,0.0194,0.0004,0.4576
farm7,2021-11-13,2022-02-08,0.4869,0.6528,0.6123,0.0401,0.0016,0.6245
farm7,2021-11-13,2022-02-18,0.5378,0.7906,0.7386,0.0588,0.0035,0.7593
farm7,2021-11-13,2022-02-28,0.565,0.8011,0.7358,0.0569,0.0032,0.7521
farm7,2021-11-13,2022-03-13,0.5417,0.7314,0.6673,0.0399,0.0016,0.6733
farm7,2021-11-13,2022-03-23,0.4727,0.6586,0.5668,0.0397,0.0016,0.5628
farm7,2021-11-13,2022-04-04,0.2524,0.4493,0.3124,0.0434,0.0019,0.2991
